"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-122.92","49.28","BURNABY SIMON FRASER U","1101158","1971-07","1971","07","22.7","","13.5","","18.1","","32.2","","6.7","","40.1","","0.0","","40.1","","0","","","","",""
"-122.92","49.28","BURNABY SIMON FRASER U","1101158","1971-08","1971","08","22.9","","14.3","","18.6","","30.0","S","10.6","","29.7","","0.0","","29.7","","0","","","","",""
"-122.92","49.28","BURNABY SIMON FRASER U","1101158","1971-09","1971","09","15.9","","9.7","","12.8","","23.3","","4.4","S","129.0","","0.0","","129.0","","0","","","","",""
"-122.92","49.28","BURNABY SIMON FRASER U","1101158","1971-10","1971","10","11.1","","5.8","","8.5","","21.1","","-3.3","","288.0","","1.3","","289.3","","0","","","","",""
"-122.92","49.28","BURNABY SIMON FRASER U","1101158","1971-11","1971","11","6.9","","3.2","","5.1","","12.2","","0.0","","305.8","","0.0","","305.8","","0","","","","",""
"-122.92","49.28","BURNABY SIMON FRASER U","1101158","1971-12","1971","12","1.6","","-2.3","","-0.4","","9.4","","-10.6","","53.6","","147.8","","201.4","","","M","","","",""
"-122.92","49.28","BURNABY SIMON FRASER U","1101158","1972-01","1972","01","1.0","","-3.1","","-1.1","","6.1","","-10.0","S","131.3","","71.9","","203.2","","","M","","","",""
"-122.92","49.28","BURNABY SIMON FRASER U","1101158","1972-02","1972","02","5.6","","0.3","","3.0","","11.1","S","-7.8","","258.8","","6.4","","265.2","","0","","","","",""
"-122.92","49.28","BURNABY SIMON FRASER U","1101158","1972-03","1972","03","8.4","","3.3","","5.9","","15.0","","-1.7","","319.8","","1.5","","321.3","","0","","","","",""
"-122.92","49.28","BURNABY SIMON FRASER U","1101158","1972-04","1972","04","8.6","","2.2","","5.4","","18.3","","-1.1","S","234.7","","15.5","","250.2","","0","","","","",""
"-122.92","49.28","BURNABY SIMON FRASER U","1101158","1972-05","1972","05","17.0","","9.2","","13.1","","29.4","","5.0","S","61.0","","0.0","","61.0","","0","","","","",""
"-122.92","49.28","BURNABY SIMON FRASER U","1101158","1972-06","1972","06","17.2","","10.5","","13.9","","27.2","","7.2","","73.4","","0.0","","73.4","","0","","","","",""
"-122.92","49.28","BURNABY SIMON FRASER U","1101158","1972-07","1972","07","21.8","","12.9","","17.4","","28.9","","8.3","","152.7","","0.0","","152.7","","0","","","","",""
"-122.92","49.28","BURNABY SIMON FRASER U","1101158","1972-08","1972","08","23.7","","13.8","","18.8","","31.7","","10.0","S","36.8","","0.0","","36.8","","0","","","","",""
"-122.92","49.28","BURNABY SIMON FRASER U","1101158","1972-09","1972","09","15.6","","8.9","","12.3","","28.9","","2.8","","116.1","","0.0","","116.1","","0","","","","",""
"-122.92","49.28","BURNABY SIMON FRASER U","1101158","1972-10","1972","10","12.5","","6.2","","9.4","","19.4","","0.6","","46.0","","0.0","","46.0","","","M","","","",""
"-122.92","49.28","BURNABY SIMON FRASER U","1101158","1972-11","1972","11","8.3","","4.2","","6.3","","12.8","","0.6","","229.4","","0.0","","229.4","","0","","","","",""
"-122.92","49.28","BURNABY SIMON FRASER U","1101158","1972-12","1972","12","2.6","","-1.3","","0.7","","8.9","S","-11.7","","431.3","","24.1","","455.4","","","M","","","",""
"-122.92","49.28","BURNABY SIMON FRASER U","1101158","1973-01","1973","01","4.2","","-0.5","","1.9","","10.6","","-9.4","S","217.7","","11.9","","229.6","","0","","","","",""
"-122.92","49.28","BURNABY SIMON FRASER U","1101158","1973-02","1973","02","7.9","","2.7","","5.3","","14.4","","-1.7","","125.2","","1.3","","126.5","","","M","","","",""
"-122.92","49.28","BURNABY SIMON FRASER U","1101158","1973-03","1973","03","8.2","","2.4","","5.3","","13.9","","-1.7","","147.1","","5.1","","152.1","","","M","","","",""
"-122.92","49.28","BURNABY SIMON FRASER U","1101158","1973-04","1973","04","12.8","","4.6","","8.7","","16.7","S","1.7","S","26.7","","0.0","","26.7","","","M","","","",""
"-122.92","49.28","BURNABY SIMON FRASER U","1101158","1973-05","1973","05","16.9","","7.9","","12.4","","30.6","","3.3","","100.6","","0.0","","100.6","","0","","","","",""
"-122.92","49.28","BURNABY SIMON FRASER U","1101158","1973-06","1973","06","17.6","","9.4","","13.5","","30.6","","4.4","","127.5","","0.0","","127.5","","0","","","","",""
"-122.92","49.28","BURNABY SIMON FRASER U","1101158","1973-07","1973","07","21.6","","12.2","","16.9","","28.9","S","7.8","S","20.8","","0.0","","20.8","","0","","","","",""
"-122.92","49.28","BURNABY SIMON FRASER U","1101158","1973-08","1973","08","20.1","","10.4","","15.3","","29.4","","3.3","S","45.2","","0.0","","45.2","","0","","","","",""
"-122.92","49.28","BURNABY SIMON FRASER U","1101158","1973-09","1973","09","18.8","","10.8","","14.8","","31.1","","5.6","S","56.4","","0.0","","56.4","","0","","","","",""
"-122.92","49.28","BURNABY SIMON FRASER U","1101158","1973-10","1973","10","11.1","","6.4","","8.8","","15.0","S","2.2","","230.1","","0.0","","230.1","","0","","","","",""
"-122.92","49.28","BURNABY SIMON FRASER U","1101158","1973-11","1973","11","4.8","","0.7","","2.8","","11.7","","-2.8","","305.8","","35.3","","341.1","","0","","","","",""
"-122.92","49.28","BURNABY SIMON FRASER U","1101158","1973-12","1973","12","6.3","","2.7","","4.5","","12.8","","-1.7","","348.5","","10.7","","359.2","","5","","","","",""
"-122.92","49.28","BURNABY SIMON FRASER U","1101158","1974-01","1974","01","3.3","","-1.1","","1.1","","8.9","S","-7.2","","273.3","","36.8","","310.1","","3","","","","",""
"-122.92","49.28","BURNABY SIMON FRASER U","1101158","1974-02","1974","02","5.4","","1.0","","3.2","","8.3","S","-1.7","","266.7","","19.1","","285.8","","0","","","","",""
"-122.92","49.28","BURNABY SIMON FRASER U","1101158","1974-03","1974","03","7.9","","1.4","","4.7","","12.8","","-5.0","","322.8","","17.0","","339.9","","0","","","","",""
"-122.92","49.28","BURNABY SIMON FRASER U","1101158","1974-04","1974","04","11.1","","4.6","","7.9","","19.4","","1.7","S","173.2","","0.0","","173.2","","0","","","","",""
"-122.92","49.28","BURNABY SIMON FRASER U","1101158","1974-05","1974","05","12.9","","5.6","","9.3","","18.9","","1.7","S","220.5","","0.0","","220.5","","","M","","","",""
"-122.92","49.28","BURNABY SIMON FRASER U","1101158","1974-06","1974","06","18.6","","9.8","","14.2","","26.1","","5.6","S","51.3","","0.0","","51.3","","","M","","","",""
"-122.92","49.28","BURNABY SIMON FRASER U","1101158","1974-07","1974","07","19.4","","11.3","","15.4","","27.8","S","7.8","S","151.1","","0.0","","151.1","","0","","","","",""
"-122.92","49.28","BURNABY SIMON FRASER U","1101158","1974-08","1974","08","21.9","","13.2","","17.6","","31.1","","9.4","","4.8","","0.0","","4.8","","0","","","","",""
"-122.92","49.28","BURNABY SIMON FRASER U","1101158","1974-09","1974","09","21.6","","12.9","","17.3","","27.8","S","7.2","","52.3","","0.0","","52.3","","0","","","","",""
"-122.92","49.28","BURNABY SIMON FRASER U","1101158","1974-10","1974","10","13.7","","7.8","","10.8","","19.4","","3.9","","65.8","","0.0","","65.8","","0","","","","",""
"-122.92","49.28","BURNABY SIMON FRASER U","1101158","1974-11","1974","11","7.7","","3.5","","5.6","","19.4","","0.0","","310.9","","0.0","T","310.9","","","M","","","",""
"-122.92","49.28","BURNABY SIMON FRASER U","1101158","1974-12","1974","12","6.0","","2.2","","4.1","","11.7","","-2.2","","291.3","","43.4","","334.8","","","M","","","",""
"-122.92","49.28","BURNABY SIMON FRASER U","1101158","1975-01","1975","01","3.2","","-0.8","","1.2","","8.3","","-7.8","","174.5","","48.5","","223.0","","","M","","","",""
"-122.92","49.28","BURNABY SIMON FRASER U","1101158","1975-02","1975","02","3.9","","-0.8","","1.6","","11.1","","-7.2","","150.6","","71.9","","222.5","","","M","","","",""
"-122.92","49.28","BURNABY SIMON FRASER U","1101158","1975-03","1975","03","6.8","","1.1","","4.0","","11.7","","-1.1","S","152.7","","13.2","","165.9","","","M","","","",""
"-122.92","49.28","BURNABY SIMON FRASER U","1101158","1975-04","1975","04","10.2","","2.9","","6.6","","17.2","","-0.6","","59.2","","0.8","","59.9","","0","","","","",""
"-122.92","49.28","BURNABY SIMON FRASER U","1101158","1975-05","1975","05","15.7","","7.1","","11.4","","25.0","","1.1","","79.2","","0.0","","79.2","","0","","","","",""
"-122.92","49.28","BURNABY SIMON FRASER U","1101158","1975-06","1975","06","16.8","","9.1","","13.0","","27.2","","6.1","S","68.1","","0.0","","68.1","","0","","","","",""
"-122.92","49.28","BURNABY SIMON FRASER U","1101158","1975-07","1975","07","23.1","","13.4","","18.3","","28.9","S","8.9","","20.1","","0.0","","20.1","","0","","","","",""
"-122.92","49.28","BURNABY SIMON FRASER U","1101158","1975-08","1975","08","17.7","","10.8","","14.3","","26.1","","7.2","","152.1","","0.0","","152.1","","0","","","","",""
"-122.92","49.28","BURNABY SIMON FRASER U","1101158","1975-09","1975","09","20.4","","11.9","","16.2","","27.8","","7.8","","1.0","","0.0","","1.0","","0","","","","",""
"-122.92","49.28","BURNABY SIMON FRASER U","1101158","1975-10","1975","10","10.8","","6.2","","8.5","","25.6","","1.1","","442.5","","0.0","","442.5","","0","","","","",""
"-122.92","49.28","BURNABY SIMON FRASER U","1101158","1975-11","1975","11","6.3","","2.1","","4.2","","15.0","","-6.1","","325.1","","22.9","","348.0","","","M","","","",""
"-122.92","49.28","BURNABY SIMON FRASER U","1101158","1975-12","1975","12","5.4","","0.9","","3.2","","11.1","","-4.4","","346.2","","34.8","","381.0","","","M","","","",""
"-122.92","49.28","BURNABY SIMON FRASER U","1101158","1976-01","1976","01","5.6","","1.6","","3.6","","11.7","","-2.8","S","271.5","","29.7","","301.2","","0","","","","",""
"-122.92","49.28","BURNABY SIMON FRASER U","1101158","1976-02","1976","02","5.1","","0.3","","2.7","","9.4","S","-2.2","","150.1","","59.7","","209.8","","","M","","","",""
"-122.92","49.28","BURNABY SIMON FRASER U","1101158","1976-03","1976","03","6.1","","0.1","","3.1","","10.6","","-7.8","","175.8","","18.0","","193.8","","0","","","","",""
"-122.92","49.28","BURNABY SIMON FRASER U","1101158","1976-04","1976","04","12.1","","4.6","","8.4","","24.4","","0.0","S","120.1","","8.1","","128.3","","0","","","","",""
"-122.92","49.28","BURNABY SIMON FRASER U","1101158","1976-05","1976","05","14.7","","6.7","","10.7","","24.4","","3.3","S","148.6","","0.0","","148.6","","0","","","","",""
"-122.92","49.28","BURNABY SIMON FRASER U","1101158","1976-06","1976","06","16.6","","8.6","","12.6","","24.4","","3.9","S","113.0","","0.0","","113.0","","0","","","","",""
"-122.92","49.28","BURNABY SIMON FRASER U","1101158","1976-07","1976","07","20.0","","11.7","","15.9","","26.1","","8.9","","46.5","","0.0","","46.5","","0","","","","",""
"-122.92","49.28","BURNABY SIMON FRASER U","1101158","1976-08","1976","08","18.1","","12.0","","15.1","","23.9","","9.4","S","137.2","","0.0","","137.2","","0","","","","",""
"-122.92","49.28","BURNABY SIMON FRASER U","1101158","1976-09","1976","09","18.5","","11.9","","15.2","","27.2","","7.2","","79.2","","0.0","","79.2","","0","","","","",""
"-122.92","49.28","BURNABY SIMON FRASER U","1101158","1976-10","1976","10","12.5","","7.7","","10.1","","18.9","","2.8","","159.0","","0.0","","159.0","","0","","","","",""
"-122.92","49.28","BURNABY SIMON FRASER U","1101158","1976-11","1976","11","9.5","","4.7","","7.1","","13.9","","-1.7","","117.3","","0.0","","117.3","","0","","","","",""
"-122.92","49.28","BURNABY SIMON FRASER U","1101158","1976-12","1976","12","7.2","","3.0","","5.1","","11.1","S","-0.6","S","263.9","","0.0","T","263.9","","0","T","","","",""
"-122.92","49.28","BURNABY SIMON FRASER U","1101158","1977-01","1977","01","4.9","","-0.2","","2.4","","10.0","S","-5.0","","136.9","","4.3","","141.2","","0","","","","",""
